type|l-EN|id|l-TR
word|hello|1|merhaba
word|yes|2|evet
word|no|3|hayır
word|good morning|4|günaydın
word|please|5|lütfen
word|thanks|6|teşekkürler
word|water|7|su
word|food|8|yemek
word|bread|9|ekmek
word|milk|10|süt
word|coffee|11|kahve
word|tea|12|çay
word|apple|13|elma
word|orange|14|portakal
word|banana|15|muz
word|grape|16|üzüm
word|chicken|17|tavuk
word|fish|18|balık
word|egg|19|yumurta
word|cheese|20|peynir
word|butter|21|tereyağı
word|sugar|22|şeker
word|salt|23|tuz
word|oil|24|yağ
word|rice|25|pirinç
word|fruit|26|meyve
word|tomato|27|domates
word|onion|28|soğan
word|garlic|29|sarımsak
word|pepper|30|biber
word|pasta|31|makarna
word|soup|32|çorba
word|salad|33|salata
word|potato|34|patates
word|dessert|35|tatlı
word|cake|36|pasta
word|biscuit|37|bisküvi
word|chocolate|38|çikolata
word|strawberry|39|çilek
word|cherry|40|kiraz
word|peach|41|şeftali
word|pear|42|armut
word|watermelon|43|karpuz
word|melon|44|kavun
word|lemon|45|limon
word|yoghurt|46|yoğurt
word|zero|47|sıfır
word|one|48|bir
word|two|49|iki
word|three|50|üç
word|four|51|dört
word|five|52|beş
word|six|53|altı
word|seven|54|yedi
word|eight|55|sekiz
word|nine|56|dokuz
word|ten|57|on
word|twenty|58|yirmi
word|fifty|59|elli
word|hundred|60|yüz
word|thousand|61|bin
word|red|62|kırmızı
word|blue|63|mavi
word|green|64|yeşil
word|yellow|65|sarı
word|black|66|siyah
word|white|67|beyaz
word|orange|68|turuncu
word|purple|69|mor
word|pink|70|pembe
word|brown|71|kahverengi
word|grey|72|gri
word|mother|73|anne
word|father|74|baba
word|sister|75|kız kardeş
word|brother|76|erkek kardeş
word|grandmother|79|anneanne
word|grandfather|81|dede
word|son|82|oğul
word|daughter|83|kız
word|husband|84|eş
word|husband|85|koca
word|wife|86|eş
word|wife|87|karı
word|spouse|88|eş
word|friend|89|arkadaş
word|boyfriend|90|erkek arkadaş
word|girlfriend|91|kız arkadaş
word|child|92|çocuk
word|baby|93|bebek
word|man|94|adam
word|woman|95|kadın
word|boy|96|erkek çocuk
